

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

103.034  000.039  000.039: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/NERDTree/lib/nerdtree/event.vim
103.275  000.055  000.055: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/NERDTree/lib/nerdtree/notifier.vim
103.824  000.329  000.329: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/NERDTree/autoload/nerdtree/ui_glue.vim
107.171  000.141  000.141: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/NERDTree/nerdtree_plugin/exec_menuitem.vim
108.665  000.249  000.249: sourcing /usr/local/Cellar/neovim/0.6.1/share/nvim/runtime/autoload/provider/clipboard.vim
109.138  001.884  001.635: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/NERDTree/nerdtree_plugin/fs_menu.vim
109.481  000.133  000.133: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/NERDTree/nerdtree_plugin/vcs.vim
110.786  000.310  000.310: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-devicons/nerdtree_plugin/webdevicons.vim
111.391  014.196  008.906: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/NERDTree/plugin/NERD_tree.vim
112.530  000.365  000.365: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/nvim-hlslens/plugin/hlslens.vim
113.000  000.131  000.131: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/nvim-lsp-installer/plugin/nvim-lsp-installer.vim
127.063  013.726  013.726: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/nvim-lspconfig/plugin/lspconfig.vim
128.327  000.745  000.745: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.vim
129.187  000.116  000.116: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/popfix/plugin/popfix.vim
129.698  000.073  000.073: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/rainbow_parentheses.vim/plugin/rainbow_parentheses.vim
130.547  000.501  000.501: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/registers.nvim/plugin/registers.vim
131.052  000.083  000.083: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/SimpylFold/plugin/SimpylFold.vim
133.286  001.892  001.892: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/sniprun/plugin/sniprun.vim
134.307  000.343  000.343: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/tabular/plugin/Tabular.vim
136.084  001.244  001.244: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/tagbar/plugin/tagbar.vim
136.687  000.071  000.071: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/toggleterm.nvim/plugin/toggleterm.vim
137.708  000.129  000.129: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/train.nvim/autoload/train/builtin.vim
137.805  000.755  000.627: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/train.nvim/plugin/train.vim
139.233  000.144  000.144: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/init.vim
139.883  000.104  000.104: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/parts.vim
140.374  000.042  000.042: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/formatter/short_path.vim
141.613  000.196  000.196: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline/util.vim
141.711  003.281  002.795: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-airline/plugin/airline.vim
142.202  000.121  000.121: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-be-good/plugin/vim-be-good.vim
143.831  000.291  000.291: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-airline/autoload/airline.vim
144.801  002.267  001.975: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-devicons/plugin/webdevicons.vim
145.398  000.249  000.249: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-easy-align/plugin/easy_align.vim
145.897  000.155  000.155: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-highlightedyank/plugin/highlightedyank.vim
146.456  000.123  000.123: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-illuminate/plugin/illuminate.vim
147.178  000.200  000.200: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-pandoc/plugin/pandoc.vim
147.755  000.235  000.235: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-signify/plugin/signify.vim
148.176  000.071  000.071: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-snippets/plugin/vimsnippets.vim
148.712  000.195  000.195: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-startify/plugin/startify.vim
149.887  000.284  000.284: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-visual-multi/autoload/vm/plugs.vim
151.160  000.379  000.379: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-visual-multi/autoload/vm/maps.vim
151.836  000.173  000.173: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-visual-multi/autoload/vm/maps/all.vim
152.897  003.799  002.964: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-visual-multi/plugin/visual-multi.vim
